,Rewards,Score,Episode_Length
0,1,0,12
1,-5,0,6
2,1,0,12
3,1,0,12
4,-3,0,8
5,-1,0,10
6,1,0,12
7,1,0,12
8,11,1,22
9,1,0,12
10,1,0,12
11,1,0,12
12,1,0,12
13,10,1,21
14,1,0,12
15,10,1,21
16,1,0,12
17,1,0,12
18,1,0,12
19,11,1,22
20,1,0,12
21,5,1,16
22,11,1,22
23,31,3,42
24,1,0,12
25,21,2,32
26,21,2,32
27,11,1,22
28,15,2,26
29,1,0,12
30,21,2,32
31,11,1,22
32,11,1,22
33,1,0,12
34,0,0,11
35,1,0,12
36,15,2,26
37,11,1,22
38,1,0,12
39,11,1,22
40,-4,0,7
41,93,10,104
42,1,0,12
43,11,1,22
44,11,1,22
45,1,0,12
46,1,0,12
47,11,1,22
48,21,2,32
49,11,1,22
50,1,0,12
51,29,3,40
52,41,4,52
53,21,2,32
54,51,5,62
55,21,2,32
56,51,5,62
57,1,0,12
58,132,13,143
59,1,0,12
60,94,10,105
61,11,1,22
62,21,2,32
63,18,2,29
64,1,0,12
65,11,1,22
66,21,2,32
67,1,0,12
68,41,4,52
69,11,1,22
70,1,0,12
71,71,7,82
72,41,4,52
73,33,4,44
74,11,1,22
75,41,4,52
76,111,11,122
77,31,3,42
78,11,1,22
79,1,0,12
80,31,3,42
81,1,0,12
82,71,7,82
83,21,2,32
84,51,5,62
85,-8,0,3
86,20,2,31
87,21,2,32
88,11,1,22
89,66,7,77
90,0,0,11
91,1,0,12
92,-1,0,10
93,61,6,72
94,31,3,42
95,118,12,129
96,-3,0,8
97,1,0,12
98,91,9,102
99,41,4,52
100,21,2,32
101,161,16,172
102,41,4,52
103,31,3,42
104,91,9,102
105,21,2,32
106,101,10,112
107,25,3,36
108,41,4,52
109,21,2,32
110,21,2,32
111,17,2,28
112,21,2,32
113,154,16,165
114,12,1,23
115,91,9,102
116,31,3,42
117,23,3,34
118,-6,0,5
119,83,9,94
120,8,1,19
121,3,1,14
122,1,0,12
123,31,3,42
124,201,20,212
125,21,2,32
126,261,26,272
127,32,3,43
128,61,6,72
129,191,19,202
130,241,24,252
131,171,17,182
132,191,19,202
133,201,20,212
134,1,0,12
135,325,33,336
136,111,11,122
137,448,45,459
138,201,20,212
139,52,5,63
140,10,1,21
141,74,8,85
142,111,11,122
143,191,19,202
144,561,56,572
145,141,14,152
146,41,4,52
147,51,5,62
148,41,4,52
149,132,13,143
150,161,16,172
151,41,4,52
152,233,24,244
153,2,0,13
154,21,2,32
155,126,13,137
156,78,8,89
157,31,3,42
158,15,2,26
159,91,9,102
160,41,4,52
161,51,5,62
162,207,21,218
163,94,10,105
164,21,2,32
165,151,15,162
166,55,6,66
167,342,34,353
168,1,0,12
169,91,9,102
170,21,2,32
171,40,4,51
172,-2,0,9
173,38,4,49
174,1,0,12
175,612,61,623
176,31,3,42
177,105,11,116
178,171,17,182
179,502,50,513
180,150,15,161
181,91,9,102
182,110,11,121
183,1,0,12
184,120,12,131
185,12,1,23
186,167,17,178
187,161,16,172
188,131,13,142
189,276,28,287
190,451,45,462
191,211,21,222
192,179,18,190
193,131,13,142
194,31,3,42
195,71,7,82
196,84,9,95
197,41,4,52
198,170,17,181
199,182,18,193
200,61,6,72
201,240,24,251
202,1,0,12
203,359,36,370
204,51,5,62
205,1,0,12
206,21,2,32
207,41,4,52
208,285,29,296
209,81,8,92
210,51,5,62
211,330,33,341
212,91,9,102
213,281,28,292
214,191,19,202
215,61,6,72
216,61,6,72
217,50,5,61
218,382,38,393
219,350,35,361
220,239,24,250
221,80,8,91
222,61,6,72
223,3,1,14
224,161,16,172
225,71,7,82
226,31,3,42
227,371,37,382
228,71,7,82
229,131,13,142
230,51,5,62
231,53,6,64
232,272,27,283
233,341,34,352
234,161,16,172
235,251,25,262
236,20,2,31
237,4,1,15
238,21,2,32
239,52,5,63
240,101,10,112
241,172,17,183
242,31,3,42
243,99,10,110
244,51,5,62
245,211,21,222
246,481,48,492
247,51,5,62
248,21,2,32
249,221,22,232
250,57,6,68
251,96,10,107
252,51,5,62
253,10,1,21
254,551,55,562
255,361,36,372
256,111,11,122
257,211,21,222
258,121,12,132
259,95,10,106
260,134,14,145
261,71,7,82
262,1,0,12
263,71,7,82
264,240,24,251
265,22,2,33
266,241,24,252
267,71,7,82
268,120,12,131
269,56,6,67
270,52,5,63
271,1,0,12
272,201,20,212
273,227,23,238
274,11,1,22
275,71,7,82
276,28,3,39
277,181,18,192
278,59,6,70
279,51,5,62
280,0,0,11
281,313,32,324
282,41,4,52
283,342,34,353
284,4,1,15
285,61,6,72
286,1,0,12
287,1,0,12
288,141,14,152
289,41,4,52
290,58,6,69
291,142,14,153
292,24,3,35
293,171,17,182
294,227,23,238
295,155,16,166
296,197,20,208
297,316,32,327
298,31,3,42
299,91,9,102
300,81,8,92
301,91,9,102
302,150,15,161
303,21,2,32
304,101,10,112
305,36,4,47
306,51,5,62
307,113,12,124
308,0,0,11
309,250,25,261
310,161,16,172
311,61,6,72
312,82,8,93
313,87,9,98
314,212,21,223
315,616,62,627
316,161,16,172
317,0,0,11
318,31,3,42
319,21,2,32
320,41,4,52
321,391,39,402
322,51,5,62
323,111,11,122
324,11,1,22
325,81,8,92
326,101,10,112
327,11,1,22
328,101,10,112
329,1,0,12
330,47,5,58
331,122,12,133
332,101,10,112
333,331,33,342
334,326,33,337
335,1,0,12
336,39,4,50
337,177,18,188
338,192,19,203
339,51,5,62
340,212,21,223
341,108,11,119
342,531,53,542
343,51,5,62
344,231,23,242
345,113,12,124
346,1,0,12
347,41,4,52
348,51,5,62
349,195,20,206
350,41,4,52
351,241,24,252
352,221,22,232
353,21,2,32
354,41,4,52
355,351,35,362
356,61,6,72
357,111,11,122
358,21,2,32
359,457,46,468
360,551,55,562
361,1,0,12
362,11,1,22
363,31,3,42
364,16,2,27
365,31,3,42
366,171,17,182
367,231,23,242
368,21,2,32
369,42,4,53
370,4,1,15
371,1,0,12
372,31,3,42
373,228,23,239
374,161,16,172
375,191,19,202
376,41,4,52
377,191,19,202
378,142,14,153
379,81,8,92
380,501,50,512
381,131,13,142
382,461,46,472
383,81,8,92
384,61,6,72
385,261,26,272
386,58,6,69
387,21,2,32
388,221,22,232
389,611,61,622
390,134,14,145
391,711,71,722
392,101,10,112
393,241,24,252
394,11,1,22
395,201,20,212
396,41,4,52
397,111,11,122
398,251,25,262
399,191,19,202
400,271,27,282
401,139,14,150
402,71,7,82
403,281,28,292
404,79,8,90
405,261,26,272
406,176,18,187
407,91,9,102
408,201,20,212
409,71,7,82
410,47,5,58
411,141,14,152
412,61,6,72
413,1,0,12
414,171,17,182
415,140,14,151
416,21,2,32
417,61,6,72
418,424,43,435
419,41,4,52
420,91,9,102
421,261,26,272
422,41,4,52
423,163,17,174
424,190,19,201
425,24,3,35
426,52,5,63
427,287,29,298
428,41,4,52
429,171,17,182
430,199,20,210
431,21,2,32
432,151,15,162
433,221,22,232
434,261,26,272
435,781,78,792
436,131,13,142
437,171,17,182
438,208,21,219
439,199,20,210
440,514,52,525
441,260,26,271
442,371,37,382
443,684,69,695
444,1269,127,1280
445,11,1,22
446,119,12,130
447,530,53,541
448,211,21,222
449,216,22,227
450,91,9,102
451,230,23,241
452,262,26,273
453,61,6,72
454,261,26,272
455,71,7,82
456,51,5,62
457,26,3,37
458,171,17,182
459,231,23,242
460,251,25,262
461,261,26,272
462,131,13,142
463,171,17,182
464,111,11,122
465,41,4,52
466,21,2,32
467,91,9,102
468,71,7,82
469,21,2,32
470,185,19,196
471,151,15,162
472,321,32,332
473,392,39,403
474,21,2,32
475,71,7,82
476,24,3,35
477,35,4,46
478,11,1,22
479,61,6,72
480,21,2,32
481,251,25,262
482,41,4,52
483,62,6,73
484,21,2,32
485,161,16,172
486,299,30,310
487,111,11,122
488,161,16,172
489,51,5,62
490,54,6,65
491,151,15,162
492,41,4,52
493,189,19,200
494,71,7,82
495,377,38,388
496,38,4,49
497,51,5,62
498,41,4,52
499,305,31,316
500,73,8,84
501,51,5,62
502,37,4,48
503,51,5,62
504,41,4,52
505,11,1,22
506,111,11,122
507,21,2,32
508,161,16,172
509,51,5,62
510,291,29,302
511,-3,0,8
512,145,15,156
513,421,42,432
514,84,9,95
515,401,40,412
516,181,18,192
517,71,7,82
518,94,10,105
519,191,19,202
520,151,15,162
521,122,12,133
522,181,18,192
523,151,15,162
524,41,4,52
525,111,11,122
526,11,1,22
527,281,28,292
528,51,5,62
529,31,3,42
530,241,24,252
531,16,2,27
532,176,18,187
533,5,1,16
534,131,13,142
535,131,13,142
536,71,7,82
537,421,42,432
538,11,1,22
539,140,14,151
540,401,40,412
541,137,14,148
542,229,23,240
543,53,6,64
544,30,3,41
545,91,9,102
546,16,2,27
547,155,16,166
548,381,38,392
549,-2,0,9
550,11,1,22
551,391,39,402
552,351,35,362
553,621,62,632
554,131,13,142
555,2,0,13
556,31,3,42
557,91,9,102
558,78,8,89
559,91,9,102
560,451,45,462
561,291,29,302
562,41,4,52
563,202,20,213
564,295,30,306
565,81,8,92
566,10,1,21
567,151,15,162
568,301,30,312
569,79,8,90
570,83,9,94
571,93,10,104
572,101,10,112
573,193,20,204
574,63,7,74
575,381,38,392
576,201,20,212
577,61,6,72
578,516,52,527
579,279,28,290
580,51,5,62
581,53,6,64
582,101,10,112
583,20,2,31
584,198,20,209
585,130,13,141
586,81,8,92
587,1,0,12
588,180,18,191
589,570,57,581
590,241,24,252
591,11,1,22
592,0,0,11
593,-8,0,3
594,11,1,22
595,101,10,112
596,211,21,222
597,121,12,132
598,67,7,78
599,51,5,62
600,211,21,222
601,301,30,312
602,521,52,532
603,31,3,42
604,261,26,272
605,48,5,59
606,225,23,236
607,31,3,42
608,11,1,22
609,51,5,62
610,64,7,75
611,71,7,82
612,-4,0,7
613,68,7,79
614,99,10,110
615,57,6,68
616,241,24,252
617,21,2,32
618,141,14,152
619,54,6,65
620,313,32,324
621,261,26,272
622,11,1,22
623,791,79,802
624,51,5,62
