,Rewards,Score,Episode_Length
0,-5,0,6
1,-6,0,5
2,1,0,12
3,1,0,12
4,-3,0,8
5,0,0,11
6,1,0,12
7,9,1,20
8,1,0,12
9,1,0,12
10,1,0,12
11,1,0,12
12,1,0,12
13,1,0,12
14,1,0,12
15,11,1,22
16,1,0,12
17,1,0,12
18,8,1,19
19,1,0,12
20,11,1,22
21,11,1,22
22,11,1,22
23,14,2,25
24,3,1,14
25,1,0,12
26,1,0,12
27,1,0,12
28,1,0,12
29,1,0,12
30,11,1,22
31,11,1,22
32,1,0,12
33,1,0,12
34,6,1,17
35,1,0,12
36,13,2,24
37,1,0,12
38,31,3,42
39,23,3,34
40,1,0,12
41,3,1,14
42,21,2,32
43,11,1,22
44,11,1,22
45,1,0,12
46,-1,0,10
47,21,2,32
48,1,0,12
49,31,3,42
50,31,3,42
51,1,0,12
52,31,3,42
53,71,7,82
54,21,2,32
55,61,6,72
56,21,2,32
57,1,0,12
58,81,8,92
59,11,1,22
60,44,5,55
61,23,3,34
62,1,0,12
63,21,2,32
64,29,3,40
65,1,0,12
66,8,1,19
67,11,1,22
68,-5,0,6
69,13,2,24
70,41,4,52
71,21,2,32
72,51,5,62
73,11,1,22
74,71,7,82
75,1,0,12
76,48,5,59
77,1,0,12
78,11,1,22
79,31,3,42
80,104,11,115
81,17,2,28
82,69,7,80
83,1,0,12
84,91,9,102
85,41,4,52
86,21,2,32
87,61,6,72
88,30,3,41
89,71,7,82
90,151,15,162
91,11,1,22
92,2,0,13
93,11,1,22
94,211,21,222
95,28,3,39
96,71,7,82
97,11,1,22
98,251,25,262
99,41,4,52
100,161,16,172
101,431,43,442
102,1,0,12
103,912,91,923
104,13,2,24
105,-5,0,6
106,211,21,222
107,42,4,53
108,41,4,52
109,281,28,292
110,321,32,332
111,49,5,60
112,0,0,11
113,51,5,62
114,11,1,22
115,11,1,22
116,1,0,12
117,37,4,48
118,71,7,82
119,211,21,222
120,1,0,12
121,1,0,12
122,1,0,12
123,11,1,22
124,291,29,302
125,69,7,80
126,261,26,272
127,1,0,12
128,189,19,200
129,141,14,152
130,188,19,199
131,191,19,202
132,151,15,162
133,29,3,40
134,68,7,79
135,39,4,50
136,146,15,157
137,101,10,112
138,53,6,64
139,91,9,102
140,141,14,152
141,31,3,42
142,721,72,732
143,61,6,72
144,1,0,12
145,191,19,202
146,169,17,180
147,9,1,20
148,12,1,23
149,1,0,12
150,71,7,82
151,171,17,182
152,91,9,102
153,24,3,35
154,151,15,162
155,14,2,25
156,31,3,42
157,12,1,23
158,144,15,155
159,113,12,124
160,221,22,232
161,40,4,51
162,36,4,47
163,231,23,242
164,61,6,72
165,951,95,962
166,11,1,22
167,321,32,332
168,21,2,32
169,191,19,202
170,591,59,602
171,801,80,812
172,41,4,52
173,639,64,650
174,0,0,11
175,8,1,19
176,931,93,942
177,11,1,22
178,12,1,23
179,197,20,208
180,47,5,58
181,37,4,48
182,631,63,642
183,61,6,72
184,71,7,82
185,188,19,199
186,41,4,52
187,31,3,42
188,91,9,102
189,21,2,32
190,22,2,33
191,10,1,21
192,31,3,42
193,11,1,22
194,1,0,12
195,48,5,59
196,21,2,32
197,48,5,59
198,41,4,52
199,-1,0,10
200,31,3,42
201,121,12,132
202,91,9,102
203,31,3,42
204,121,12,132
205,51,5,62
206,131,13,142
207,11,1,22
208,61,6,72
209,191,19,202
210,41,4,52
211,11,1,22
212,61,6,72
213,31,3,42
214,21,2,32
215,121,12,132
216,31,3,42
217,121,12,132
218,82,8,93
219,1,0,12
220,41,4,52
221,21,2,32
222,76,8,87
223,31,3,42
224,61,6,72
225,221,22,232
226,126,13,137
227,171,17,182
228,67,7,78
229,116,12,127
230,41,4,52
231,31,3,42
232,-4,0,7
233,141,14,152
234,28,3,39
235,51,5,62
236,231,23,242
237,21,2,32
238,8,1,19
239,187,19,198
240,251,25,262
241,21,2,32
242,71,7,82
243,89,9,100
244,111,11,122
245,31,3,42
246,231,23,242
247,47,5,58
248,231,23,242
249,20,2,31
250,91,9,102
251,381,38,392
252,110,11,121
253,245,25,256
254,131,13,142
255,86,9,97
256,180,18,191
257,45,5,56
258,128,13,139
259,38,4,49
260,-3,0,8
261,20,2,31
262,18,2,29
263,39,4,50
264,15,2,26
265,11,1,22
266,1,0,12
267,-2,0,9
268,11,1,22
269,111,11,122
270,41,4,52
271,71,7,82
272,161,16,172
273,7,1,18
274,31,3,42
275,71,7,82
276,91,9,102
277,261,26,272
278,171,17,182
279,51,5,62
280,9,1,20
281,11,1,22
282,31,3,42
283,171,17,182
284,290,29,301
285,21,2,32
286,1,0,12
287,161,16,172
288,61,6,72
289,111,11,122
290,81,8,92
291,31,3,42
292,181,18,192
293,351,35,362
294,-2,0,9
295,211,21,222
296,-6,0,5
297,51,5,62
298,61,6,72
299,251,25,262
300,11,1,22
301,261,26,272
302,131,13,142
303,451,45,462
304,81,8,92
305,41,4,52
306,111,11,122
307,28,3,39
308,115,12,126
309,328,33,339
310,31,3,42
311,51,5,62
312,21,2,32
313,21,2,32
314,82,8,93
315,11,1,22
316,21,2,32
317,31,3,42
318,1,0,12
319,21,2,32
320,-2,0,9
321,1,0,12
322,11,1,22
323,161,16,172
324,51,5,62
325,81,8,92
326,11,1,22
327,11,1,22
328,31,3,42
329,11,1,22
330,31,3,42
331,31,3,42
332,191,19,202
333,31,3,42
334,41,4,52
335,11,1,22
336,51,5,62
337,151,15,162
338,51,5,62
339,57,6,68
340,97,10,108
341,97,10,108
342,7,1,18
343,21,2,32
344,51,5,62
345,11,1,22
346,87,9,98
347,61,6,72
348,29,3,40
349,11,1,22
350,21,2,32
351,26,3,37
352,16,2,27
353,44,5,55
354,124,13,135
355,6,1,17
356,78,8,89
357,-5,0,6
358,-3,0,8
359,41,4,52
360,21,2,32
361,167,17,178
362,161,16,172
363,1,0,12
364,31,3,42
365,71,7,82
366,121,12,132
367,1,0,12
368,201,20,212
369,66,7,77
370,11,1,22
371,27,3,38
372,114,12,125
373,331,33,342
374,232,23,243
375,213,22,224
376,4,1,15
377,71,7,82
378,22,2,33
379,-5,0,6
380,181,18,192
381,79,8,90
382,71,7,82
383,81,8,92
384,81,8,92
385,91,9,102
386,81,8,92
387,21,2,32
388,51,5,62
389,71,7,82
390,151,15,162
391,171,17,182
392,11,1,22
393,101,10,112
394,258,26,269
395,91,9,102
396,321,32,332
397,28,3,39
398,71,7,82
399,241,24,252
400,71,7,82
401,19,2,30
402,191,19,202
403,20,2,31
404,81,8,92
405,15,2,26
406,607,61,618
407,20,2,31
408,459,46,470
409,41,4,52
410,138,14,149
411,47,5,58
412,351,35,362
413,21,2,32
414,131,13,142
415,88,9,99
416,29,3,40
417,37,4,48
418,99,10,110
419,28,3,39
420,21,2,32
421,11,1,22
422,28,3,39
423,18,2,29
424,289,29,300
425,731,73,742
426,118,12,129
427,447,45,458
428,71,7,82
429,11,1,22
430,7,1,18
431,163,17,174
432,89,9,100
433,1,0,12
434,31,3,42
435,161,16,172
436,160,16,171
437,31,3,42
438,5,1,16
439,231,23,242
440,244,25,255
441,24,3,35
442,215,22,226
443,91,9,102
444,31,3,42
445,171,17,182
446,206,21,217
447,381,38,392
448,81,8,92
449,67,7,78
450,130,13,141
451,151,15,162
452,965,97,976
453,129,13,140
454,951,95,962
455,81,8,92
456,589,59,600
457,101,10,112
458,159,16,170
459,151,15,162
460,11,1,22
461,81,8,92
462,161,16,172
463,309,31,320
464,411,41,422
465,111,11,122
466,684,69,695
467,25,3,36
468,20,2,31
469,33,4,44
470,71,7,82
471,-2,0,9
472,19,2,30
473,130,13,141
474,11,1,22
475,11,1,22
476,41,4,52
477,101,10,112
478,21,2,32
479,71,7,82
480,59,6,70
481,31,3,42
482,21,2,32
483,26,3,37
484,11,1,22
485,11,1,22
486,21,2,32
487,11,1,22
488,71,7,82
489,6,1,17
490,21,2,32
491,31,3,42
492,21,2,32
493,21,2,32
494,11,1,22
495,21,2,32
496,21,2,32
497,20,2,31
498,31,3,42
499,21,2,32
500,11,1,22
501,41,4,52
502,131,13,142
503,20,2,31
504,41,4,52
505,21,2,32
506,21,2,32
507,21,2,32
508,11,1,22
509,21,2,32
510,11,1,22
511,1,0,12
512,80,8,91
513,11,1,22
514,71,7,82
515,31,3,42
516,10,1,21
517,45,5,56
518,131,13,142
519,31,3,42
520,-1,0,10
521,91,9,102
522,28,3,39
523,131,13,142
524,68,7,79
525,81,8,92
526,57,6,68
527,61,6,72
528,51,5,62
529,41,4,52
530,171,17,182
531,41,4,52
532,161,16,172
533,121,12,132
534,41,4,52
535,191,19,202
536,21,2,32
537,7,1,18
538,71,7,82
539,41,4,52
540,70,7,81
541,261,26,272
542,391,39,402
543,88,9,99
544,91,9,102
545,-6,0,5
546,108,11,119
547,150,15,161
548,-5,0,6
549,11,1,22
550,31,3,42
551,34,4,45
552,151,15,162
553,321,32,332
554,98,10,109
555,31,3,42
556,301,30,312
557,218,22,229
558,188,19,199
559,98,10,109
560,1,0,12
561,61,6,72
562,68,7,79
563,60,6,71
564,221,22,232
565,11,1,22
566,121,12,132
567,131,13,142
568,81,8,92
569,360,36,371
570,21,2,32
571,21,2,32
572,131,13,142
573,51,5,62
574,-6,0,5
575,261,26,272
576,1,0,12
577,201,20,212
578,1,0,12
579,11,1,22
580,471,47,482
581,17,2,28
582,179,18,190
583,67,7,78
584,237,24,248
585,31,3,42
586,359,36,370
587,221,22,232
588,81,8,92
589,71,7,82
590,11,1,22
591,211,21,222
592,161,16,172
593,179,18,190
594,639,64,650
595,551,55,562
596,450,45,461
597,1071,107,1082
598,194,20,205
599,911,91,922
600,239,24,250
601,-6,0,5
602,634,64,645
603,51,5,62
604,91,9,102
605,444,45,455
606,262,26,273
607,416,42,427
608,35,4,46
609,36,4,47
610,21,2,32
611,211,21,222
612,91,9,102
613,5,1,16
614,31,3,42
615,221,22,232
616,148,15,159
617,8,1,19
618,161,16,172
619,101,10,112
620,81,8,92
621,1,0,12
622,11,1,22
623,111,11,122
624,11,1,22
625,1,0,12
626,11,1,22
627,441,44,452
628,121,12,132
629,555,56,566
630,46,5,57
631,671,67,682
632,285,29,296
633,141,14,152
634,1586,159,1597
635,221,22,232
636,21,2,32
637,1,0,12
638,1,0,12
639,51,5,62
640,1,0,12
641,11,1,22
642,1,0,12
643,81,8,92
644,31,3,42
645,11,1,22
646,21,2,32
647,139,14,150
648,59,6,70
649,183,19,194
650,6,1,17
651,101,10,112
652,31,3,42
653,64,7,75
654,61,6,72
655,353,36,364
656,241,24,252
657,98,10,109
658,572,57,583
659,151,15,162
660,362,36,373
661,251,25,262
662,17,2,28
663,21,2,32
664,441,44,452
665,187,19,198
666,9,1,20
667,27,3,38
668,48,5,59
669,338,34,349
670,111,11,122
671,8,1,19
672,391,39,402
673,381,38,392
674,1121,112,1132
675,1425,143,1436
676,164,17,175
677,1,0,12
678,412,41,423
679,111,11,122
680,361,36,372
681,2,0,13
682,22,2,33
683,33,4,44
684,53,6,64
685,12,1,23
686,2,0,13
687,2,0,13
688,112,11,123
689,31,3,42
690,138,14,149
691,309,31,320
692,85,9,96
693,441,44,452
694,112,11,123
695,1431,143,1442
696,451,45,462
697,267,27,278
698,247,25,258
699,67,7,78
700,15,2,26
701,177,18,188
702,7,1,18
703,57,6,68
704,471,47,482
705,39,4,50
706,600,60,611
707,68,7,79
708,91,9,102
709,218,22,229
710,8,1,19
711,50,5,61
712,151,15,162
713,258,26,269
714,106,11,117
715,135,14,146
716,801,80,812
717,383,39,394
718,81,8,92
719,252,25,263
720,180,18,191
721,272,27,283
722,41,4,52
723,518,52,529
724,158,16,169
725,18,2,29
726,98,10,109
727,436,44,447
728,11,1,22
729,98,10,109
730,-8,0,3
731,121,12,132
732,21,2,32
733,198,20,209
734,208,21,219
735,81,8,92
736,358,36,369
737,168,17,179
738,58,6,69
739,357,36,368
740,171,17,182
741,10,1,21
742,517,52,528
743,401,40,412
744,381,38,392
745,38,4,49
746,261,26,272
747,51,5,62
748,51,5,62
749,191,19,202
750,21,2,32
751,11,1,22
752,246,25,257
753,71,7,82
754,48,5,59
755,48,5,59
756,-5,0,6
757,11,1,22
758,81,8,92
759,217,22,228
760,-5,0,6
761,41,4,52
762,11,1,22
763,1,0,12
764,11,1,22
765,41,4,52
766,-5,0,6
767,68,7,79
768,162,16,173
769,97,10,108
770,58,6,69
771,131,13,142
772,11,1,22
773,1,0,12
774,41,4,52
775,531,53,542
776,60,6,71
777,1,0,12
778,31,3,42
779,21,2,32
780,1,0,12
781,31,3,42
782,9,1,20
783,6,1,17
784,196,20,207
785,141,14,152
786,211,21,222
787,741,74,752
788,-8,0,3
789,601,60,612
790,441,44,452
791,671,67,682
792,371,37,382
793,153,16,164
794,333,34,344
795,81,8,92
796,46,5,57
797,81,8,92
798,641,64,652
799,11,1,22
800,321,32,332
801,396,40,407
802,91,9,102
803,601,60,612
804,41,4,52
805,101,10,112
806,151,15,162
807,201,20,212
808,141,14,152
809,91,9,102
