,,0,1
12,0,19.94821440694408,19.953255798217725
11,-1,19.921217146770523,19.93304921267304
10,-2,19.94657628142401,19.86934612904916
9,-1,19.75511773765182,19.88405480462474
8,-2,18.150581241104966,19.894865686407076
7,-1,19.705310530460125,19.896378547222753
6,2,19.39399924597521,19.795877167381676
5,1,17.191444300157556,19.579503618039414
4,0,18.905816116873446,19.708222091683123
3,1,19.73113008549681,19.544217519232568
2,4,-23.186126422986653,-14.860372555358222
1,3,-19.496866485398627,-19.49998964932608
0,4,-10.0,-9.9999997952
12,2,19.95724798520035,19.93459946248184
11,1,19.637538368187077,19.948802115316518
10,0,19.938643344046998,19.885584967631402
9,1,10.748765052281238,19.849284266187286
8,4,18.847579640182804,19.804472547169546
7,9,-8.947025184757113,-5.815992681192203
6,10,-13.454862410448897,-5.297580308250326
6,8,-15.450489891637847,-6.947932299352811
5,7,-5.686939105620297,-11.198639978555615
4,8,-14.75955441090651,-12.450546971891363
3,7,-10.072726940827037,-9.062019353272444
2,8,-8.512438589113328,-17.41615589287565
1,7,-17.649242052450845,-19.4944
0,8,-10.0,-9.984
0,6,-10.0,-9.999872
12,-4,19.930805443631982,19.960882947687345
11,-2,19.949314299039862,19.858560578833252
10,-3,19.833394859614323,19.69887484974064
9,-4,19.38806166351344,19.898270716546687
8,-3,18.46764618603453,19.901560631663074
7,-4,19.88836400844651,19.30355797018901
6,-3,19.633227148192983,19.882424695553354
5,0,19.750746875545786,17.286077040135496
4,4,-10.000000312361301,19.89940021791717
12,1,19.579261097520842,19.914460800704653
11,2,13.289268379683685,19.894351184576188
10,1,19.8668192350325,19.399754508361625
9,0,9.080195644591901,19.841324884502654
8,1,9.520892447842996,19.879274128740477
7,4,14.239887796588562,19.86401970790708
6,3,18.05550945881268,19.822236635327382
5,2,13.576258768005431,19.777338849839097
4,3,-9.991948429179194,19.84502229917049
3,6,-16.578580772381972,-13.548169323876532
2,10,-9.702403888799285,-12.9758486528
0,2,-10.0,-9.9999999983616
12,-5,19.9915407850098,19.986128507151513
11,-6,19.997990214054322,19.556265826181786
10,-7,19.34326862343967,19.32011151846869
9,-6,19.911643513763217,18.99289483208635
8,-7,19.66538786223479,17.548442356585564
7,-6,16.047509773137413,18.11055408057685
